CATEGORYID,ASSETDESC,USESTATUS_LAST_ID,P_MANUFACTURERID,DATEMANUFACTURE,NATIONALFACT,OWNER,KIEU,U_LV,U_DM,I_P_DM,U_MCOV,PHA,LOAI,CAP_PHONG_IEC,VAT_LIEU,CAP_CS
0110D00_CS,TAM PHUOC_T2_CS.1T2-C,USING,HSX.00354,2011,TB040.00014,TB0632,PB-100032,PB-100029,110,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.76,PB-100040,PB-100042,PB-500869
0110D00_CS,TAM AN_T1_CS.1T1-B,USING,HSX.00311,2005,TB040.00006,TB0632,PB-100032,PB-100029,110,PB-500892,PB-100033,EVN.PHA_A,PB-500162,PB-100040,PB-100042,PB-500869
0110D00_CS,TAM AN_T1_CS.1T1-C,USING,HSX.00311,2005,TB040.00006,TB0632,PB-100032,PB-100029,110,PB-500892,PB-100033,EVN.PHA_A,PB-500162,PB-100040,PB-100042,PB-500869
0110D00_CS,CS.CT05SUOIDOP-CS171A-02/2019,USING,HSX.00354,2017,TB040.00021,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_01,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.61,PB-100040,PB-100043,PB-500871
0110D00_CS,CS.CT05SUOIDOP-CS171C-02/2019,USING,HSX.00354,2017,TB040.00021,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_01,PB-500892,PB-100033,EVN.PHA_C,TBI_CT_LOAI.61,PB-100040,PB-100043,PB-500871
0110D00_CS,CS.CT05SUOIDOP-CS171B-02/2019,USING,HSX.00354,2017,TB040.00021,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_01,PB-500892,PB-100033,EVN.PHA_B,TBI_CT_LOAI.61,PB-100040,PB-100043,PB-500871
0110D00_CS,CS.CT05SUOIDOP-CS172A-02/2019,USING,HSX.00354,2017,TB040.00021,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_01,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.61,PB-100040,PB-100043,PB-500871
0110D00_CS,CS.CT05SUOIDOP-CS171B-02/2019,USING,HSX.00354,2017,TB040.00021,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_01,PB-500892,PB-100033,EVN.PHA_B,TBI_CT_LOAI.61,PB-100040,PB-100043,PB-500871
0110D00_CS,CS.CT05SUOIDOP-CS172C-02/2019,USING,HSX.00354,2017,TB040.00021,TB0632,PB-100032,PB-100029,TBI_CT_MC_U_TT_01,PB-500892,PB-100033,EVN.PHA_C,TBI_CT_LOAI.61,PB-100040,PB-100043,PB-500871
0110D00_CS,CHONGSET.CT05THANHDUC-CS172A-12/2005,USING,HSX.00508,2004,TB040.00016,TB0632,PB-100031,PB-100029,PB-100022,PB-500892,PB-100033,EVN.PHA_A,TBI_CT_LOAI.76,PB-100040,PB-100043,PB-500871
0110D00_CS,CHONGSET.CT05THANHDUC-CS172B-12/2005,USING,HSX.00354,2004,TB040.00014,TB0632,PB-100031,PB-100029,PB-100022,PB-500892,PB-100033,EVN.PHA_B,TBI_CT_LOAI.76,PB-100040,PB-100043,PB-500871
0110D00_CS,CHONGSET.CT05THANHDUC-CS172C-12/2005,USING,HSX.00354,2004,TB040.00014,TB0632,PB-100031,PB-100029,PB-100022,PB-500892,PB-100033,EVN.PHA_C,TBI_CT_LOAI.76,PB-100040,PB-100043,PB-500871
